,State,id,Year,Federal_Minimum_Wage,Federal_Minimum_Wage_2022_Dollars,Effective_Minimum_Wage,Effective_Minimum_Wage_2022_Dollars,CPI_Average
0,Alabama,1,1968,1.15,9.53,1.15,9.53,34.8
1,Alaska,2,1968,1.15,9.53,2.1,17.4,34.8
2,Arizona,4,1968,1.15,9.53,1.15,9.53,34.8
3,Arkansas,5,1968,1.15,9.53,1.15,9.53,34.8
4,California,6,1968,1.15,9.53,1.65,13.67,34.8
5,Colorado,8,1968,1.15,9.53,1.15,9.53,34.8
6,Connecticut,9,1968,1.15,9.53,1.4,11.6,34.8
7,Delaware,10,1968,1.15,9.53,1.25,10.36,34.8
8,District of Columbia,11,1968,1.15,9.53,1.25,10.36,34.8
9,Florida,12,1968,1.15,9.53,1.15,9.53,34.8
10,Georgia,13,1968,1.15,9.53,1.15,9.53,34.8
11,Guam,66,1968,1.15,9.53,1.25,10.36,34.8
12,Hawaii,15,1968,1.15,9.53,1.25,10.36,34.8
13,Idaho,16,1968,1.15,9.53,1.15,9.53,34.8
14,Illinois,17,1968,1.15,9.53,1.15,9.53,34.8
15,Indiana,18,1968,1.15,9.53,1.15,9.53,34.8
16,Iowa,19,1968,1.15,9.53,1.15,9.53,34.8
17,Kansas,20,1968,1.15,9.53,1.15,9.53,34.8
18,Kentucky,21,1968,1.15,9.53,1.15,9.53,34.8
19,Louisiana,22,1968,1.15,9.53,1.15,9.53,34.8
20,Maine,23,1968,1.15,9.53,1.4,11.6,34.8
21,Maryland,24,1968,1.15,9.53,1.15,9.53,34.8
22,Massachusetts,25,1968,1.15,9.53,1.6,13.26,34.8
23,Michigan,26,1968,1.15,9.53,1.25,10.36,34.8
24,Minnesota,27,1968,1.15,9.53,1.15,9.53,34.8
25,Mississippi,28,1968,1.15,9.53,1.15,9.53,34.8
26,Missouri,29,1968,1.15,9.53,1.15,9.53,34.8
27,Montana,30,1968,1.15,9.53,1.15,9.53,34.8
28,Nebraska,31,1968,1.15,9.53,1.15,9.53,34.8
29,Nevada,32,1968,1.15,9.53,1.25,10.36,34.8
30,New Hampshire,33,1968,1.15,9.53,1.4,11.6,34.8
31,New Jersey,34,1968,1.15,9.53,1.4,11.6,34.8
32,New Mexico,35,1968,1.15,9.53,1.15,9.53,34.8
33,New York,36,1968,1.15,9.53,1.6,13.26,34.8
34,North Carolina,37,1968,1.15,9.53,1.15,9.53,34.8
35,North Dakota,38,1968,1.15,9.53,1.15,9.53,34.8
36,Ohio,39,1968,1.15,9.53,1.15,9.53,34.8
37,Oklahoma,40,1968,1.15,9.53,1.15,9.53,34.8
38,Oregon,41,1968,1.15,9.53,1.25,10.36,34.8
39,Pennsylvania,42,1968,1.15,9.53,1.15,9.53,34.8
40,Puerto Rico,72,1968,1.15,9.53,1.15,9.53,34.8
41,Rhode Island,44,1968,1.15,9.53,1.4,11.6,34.8
42,South Carolina,45,1968,1.15,9.53,1.15,9.53,34.8
43,South Dakota,46,1968,1.15,9.53,1.15,9.53,34.8
44,Tennessee,47,1968,1.15,9.53,1.15,9.53,34.8
45,Texas,48,1968,1.15,9.53,1.15,9.53,34.8
46,U.S. Virgin Islands,78,1968,1.15,9.53,1.15,9.53,34.8
47,Utah,49,1968,1.15,9.53,1.15,9.53,34.8
48,Vermont,50,1968,1.15,9.53,1.4,11.6,34.8
49,Virginia,51,1968,1.15,9.53,1.15,9.53,34.8
50,Washington,53,1968,1.15,9.53,1.6,13.26,34.8
51,West Virginia,54,1968,1.15,9.53,1.15,9.53,34.8
52,Wisconsin,55,1968,1.15,9.53,1.25,10.36,34.8
53,Wyoming,56,1968,1.15,9.53,1.2,9.94,34.8
54,Alabama,1,1969,1.15,9.04,1.15,9.04,36.7
55,Alaska,2,1969,1.15,9.04,2.1,16.5,36.7
56,Arizona,4,1969,1.15,9.04,1.15,9.04,36.7
57,Arkansas,5,1969,1.15,9.04,1.15,9.04,36.7
58,California,6,1969,1.15,9.04,1.65,12.96,36.7
59,Colorado,8,1969,1.15,9.04,1.15,9.04,36.7
60,Connecticut,9,1969,1.15,9.04,1.4,11.0,36.7
61,Delaware,10,1969,1.15,9.04,1.25,9.82,36.7
62,District of Columbia,11,1969,1.15,9.04,1.25,9.82,36.7
63,Florida,12,1969,1.15,9.04,1.15,9.04,36.7
64,Georgia,13,1969,1.15,9.04,1.15,9.04,36.7
65,Guam,66,1969,1.15,9.04,1.25,9.82,36.7
66,Hawaii,15,1969,1.15,9.04,1.25,9.82,36.7
67,Idaho,16,1969,1.15,9.04,1.15,9.04,36.7
68,Illinois,17,1969,1.15,9.04,1.15,9.04,36.7
69,Indiana,18,1969,1.15,9.04,1.15,9.04,36.7
70,Iowa,19,1969,1.15,9.04,1.15,9.04,36.7
71,Kansas,20,1969,1.15,9.04,1.15,9.04,36.7
72,Kentucky,21,1969,1.15,9.04,1.15,9.04,36.7
73,Louisiana,22,1969,1.15,9.04,1.15,9.04,36.7
74,Maine,23,1969,1.15,9.04,1.4,11.0,36.7
75,Maryland,24,1969,1.15,9.04,1.15,9.04,36.7
76,Massachusetts,25,1969,1.15,9.04,1.6,12.57,36.7
77,Michigan,26,1969,1.15,9.04,1.25,9.82,36.7
78,Minnesota,27,1969,1.15,9.04,1.15,9.04,36.7
79,Mississippi,28,1969,1.15,9.04,1.15,9.04,36.7
80,Missouri,29,1969,1.15,9.04,1.15,9.04,36.7
81,Montana,30,1969,1.15,9.04,1.15,9.04,36.7
82,Nebraska,31,1969,1.15,9.04,1.15,9.04,36.7
83,Nevada,32,1969,1.15,9.04,1.25,9.82,36.7
84,New Hampshire,33,1969,1.15,9.04,1.4,11.0,36.7
85,New Jersey,34,1969,1.15,9.04,1.4,11.0,36.7
86,New Mexico,35,1969,1.15,9.04,1.15,9.04,36.7
87,New York,36,1969,1.15,9.04,1.6,12.57,36.7
88,North Carolina,37,1969,1.15,9.04,1.15,9.04,36.7
89,North Dakota,38,1969,1.15,9.04,1.15,9.04,36.7
90,Ohio,39,1969,1.15,9.04,1.15,9.04,36.7
91,Oklahoma,40,1969,1.15,9.04,1.15,9.04,36.7
92,Oregon,41,1969,1.15,9.04,1.25,9.82,36.7
93,Pennsylvania,42,1969,1.15,9.04,1.15,9.04,36.7
94,Puerto Rico,72,1969,1.15,9.04,1.15,9.04,36.7
95,Rhode Island,44,1969,1.15,9.04,1.4,11.0,36.7
96,South Carolina,45,1969,1.15,9.04,1.15,9.04,36.7
97,South Dakota,46,1969,1.15,9.04,1.15,9.04,36.7
98,Tennessee,47,1969,1.15,9.04,1.15,9.04,36.7
99,Texas,48,1969,1.15,9.04,1.15,9.04,36.7
100,U.S. Virgin Islands,78,1969,1.15,9.04,1.15,9.04,36.7
101,Utah,49,1969,1.15,9.04,1.15,9.04,36.7
102,Vermont,50,1969,1.15,9.04,1.4,11.0,36.7
103,Virginia,51,1969,1.15,9.04,1.15,9.04,36.7
104,Washington,53,1969,1.15,9.04,1.6,12.57,36.7
