"Year","State","Department.Of.Labor.Cleaned.Low.Value","Federal.Minimum.Wage","Federal.Minimum.Wage.2022.Dollars","Effective.Minimum.Wage","Effective.Minimum.Wage.2022.Dollars","CPI.Average","Department.Of.Labor.Uncleaned.Data","Department.Of.Labor.Cleaned.Low.Value.2022.Dollars","Department.Of.Labor.Cleaned.High.Value","Department.Of.Labor.Cleaned.High.Value.2022.Dollars","Footnote"
"1968","Alabama","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","Alaska","2.1","1.15",9.53,"2.1",17.4,34.8,"2.1",17.4,"2.1",17.4,""
"1968","Arizona","0.468","1.15",9.53,"1.15",9.53,34.8,"18.72 - 26.40/wk(b)",3.88,"0.66",5.47,"(b)"
"1968","Arkansas","0.15625","1.15",9.53,"1.15",9.53,34.8,"1.25/day(b)",1.29,"0.15625",1.29,"(b)"
"1968","California","1.65","1.15",9.53,"1.65",13.67,34.8,"1.65(b)",13.67,"1.65",13.67,"(b)"
"1968","Colorado","1","1.15",9.53,"1.15",9.53,34.8,"1.00 - 1.25(b)",8.29,"1.25",10.36,"(b)"
"1968","Connecticut","1.4","1.15",9.53,"1.4",11.6,34.8,"1.4",11.6,"1.4",11.6,""
"1968","Delaware","1.25","1.15",9.53,"1.25",10.36,34.8,"1.25",10.36,"1.25",10.36,""
"1968","District of Columbia","1.25","1.15",9.53,"1.25",10.36,34.8,"1.25 - 1.40",10.36,"1.4",11.6,""
"1968","Florida","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","Georgia","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","Guam","1.25","1.15",9.53,"1.25",10.36,34.8,"1.25",10.36,"1.25",10.36,""
"1968","Hawaii","1.25","1.15",9.53,"1.25",10.36,34.8,"1.25",10.36,"1.25",10.36,""
"1968","Idaho","1.15","1.15",9.53,"1.15",9.53,34.8,"1.15",9.53,"1.15",9.53,""
"1968","Illinois","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","Indiana","1.15","1.15",9.53,"1.15",9.53,34.8,"1.15",9.53,"1.15",9.53,""
"1968","Iowa","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","Kansas","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","Kentucky","0.65","1.15",9.53,"1.15",9.53,34.8,".65 - .75(b)",5.39,"0.75",6.21,"(b)"
"1968","Louisiana","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","Maine","1.4","1.15",9.53,"1.4",11.6,34.8,"1.4",11.6,"1.4",11.6,""
"1968","Maryland","1","1.15",9.53,"1.15",9.53,34.8,"1.00 & 1.15",8.29,"1.15",9.53,""
"1968","Massachusetts","1.6","1.15",9.53,"1.6",13.26,34.8,"1.6",13.26,"1.6",13.26,""
"1968","Michigan","1.25","1.15",9.53,"1.25",10.36,34.8,"1.25",10.36,"1.25",10.36,""
"1968","Minnesota","0.7","1.15",9.53,"1.15",9.53,34.8,".70 - 1.15(b)",5.8,"1.15",9.53,"(b)"
"1968","Mississippi","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","Missouri","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","Montana","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","Nebraska","1","1.15",9.53,"1.15",9.53,34.8,"1",8.29,"1",8.29,""
"1968","Nevada","1.25","1.15",9.53,"1.25",10.36,34.8,"1.25",10.36,"1.25",10.36,""
"1968","New Hampshire","1.4","1.15",9.53,"1.4",11.6,34.8,"1.4",11.6,"1.4",11.6,""
"1968","New Jersey","1.4","1.15",9.53,"1.4",11.6,34.8,"1.4",11.6,"1.4",11.6,""
"1968","New Mexico","1.15","1.15",9.53,"1.15",9.53,34.8,"1.15 - 1.40",9.53,"1.4",11.6,""
"1968","New York","1.6","1.15",9.53,"1.6",13.26,34.8,"1.6",13.26,"1.6",13.26,""
"1968","North Carolina","1","1.15",9.53,"1.15",9.53,34.8,"1",8.29,"1",8.29,""
"1968","North Dakota","1","1.15",9.53,"1.15",9.53,34.8,"1.00 - 1.25",8.29,"1.25",10.36,""
"1968","Ohio","0.75","1.15",9.53,"1.15",9.53,34.8,".75 - 1.25(b)",6.21,"1.25",10.36,"(b)"
"1968","Oklahoma","1","1.15",9.53,"1.15",9.53,34.8,"1",8.29,"1",8.29,""
"1968","Oregon","1.25","1.15",9.53,"1.25",10.36,34.8,"1.25",10.36,"1.25",10.36,""
"1968","Pennsylvania","1.15","1.15",9.53,"1.15",9.53,34.8,"1.15",9.53,"1.15",9.53,""
"1968","Puerto Rico","0.43","1.15",9.53,"1.15",9.53,34.8,".43 - 1.60",3.56,"1.6",13.26,""
"1968","Rhode Island","1.4","1.15",9.53,"1.4",11.6,34.8,"1.4",11.6,"1.4",11.6,""
"1968","South Carolina","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","South Dakota","0.425","1.15",9.53,"1.15",9.53,34.8,"17.00 - 20.00/wk",3.52,"0.5",4.14,""
"1968","Tennessee","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","Texas","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","U.S. Virgin Islands","0","1.15",9.53,"1.15",9.53,34.8,"...",NA,"0",NA,""
"1968","Utah","1","1.15",9.53,"1.15",9.53,34.8,"1.00 - 1.15(b)",8.29,"1.15",9.53,"(b)"
"1968","Vermont","1.4","1.15",9.53,"1.4",11.6,34.8,"1.4",11.6,"1.4",11.6,""
"1968","Virginia","0","1.15",9.53,"1.15",9.53,34.8,"...",0,"0",0,""
"1968","Washington","1.6","1.15",9.53,"1.6",13.26,34.8,"1.6",13.26,"1.6",13.26,""
"1968","West Virginia","1","1.15",9.53,"1.15",9.53,34.8,"1",8.29,"1",8.29,""
"1968","Wisconsin","1.25","1.15",9.53,"1.25",10.36,34.8,"1.25 (b)",10.36,"1.25",10.36,"(b)"
"1968","Wyoming","1.2","1.15",9.53,"1.2",9.94,34.8,"1.2",9.94,"1.2",9.94,""
"1969","Alabama","0","1.15",9.04,"1.15",9.04,36.7,"...",0,"0",0,""
"1969","Alaska","2.1","1.15",9.04,"2.1",16.5,36.7,"2.1",16.5,"2.1",16.5,""
"1969","Arizona","0.468","1.15",9.04,"1.15",9.04,36.7,"18.72 - 26.40/wk(b)",3.68,"0.66",5.19,"(b)"
"1969","Arkansas","0.15625","1.15",9.04,"1.15",9.04,36.7,"1.25/day(b)",1.23,"0.15625",1.23,"(b)"
"1969","California","1.65","1.15",9.04,"1.65",12.96,36.7,"1.65(b)",12.96,"1.65",12.96,"(b)"
"1969","Colorado","1","1.15",9.04,"1.15",9.04,36.7,"1.00 - 1.25(b)",7.86,"1.25",9.82,"(b)"
"1969","Connecticut","1.4","1.15",9.04,"1.4",11,36.7,"1.4",11,"1.4",11,""
"1969","Delaware","1.25","1.15",9.04,"1.25",9.82,36.7,"1.25",9.82,"1.25",9.82,""
"1969","District of Columbia","1.25","1.15",9.04,"1.25",9.82,36.7,"1.25 - 1.40",9.82,"1.4",11,""
"1969","Florida","0","1.15",9.04,"1.15",9.04,36.7,"...",0,"0",0,""
"1969","Georgia","0","1.15",9.04,"1.15",9.04,36.7,"...",0,"0",0,""
"1969","Guam","1.25","1.15",9.04,"1.25",9.82,36.7,"1.25",9.82,"1.25",9.82,""
"1969","Hawaii","1.25","1.15",9.04,"1.25",9.82,36.7,"1.25",9.82,"1.25",9.82,""
"1969","Idaho","1.15","1.15",9.04,"1.15",9.04,36.7,"1.15",9.04,"1.15",9.04,""
"1969","Illinois","0","1.15",9.04,"1.15",9.04,36.7,"...",0,"0",0,""
"1969","Indiana","1.15","1.15",9.04,"1.15",9.04,36.7,"1.15",9.04,"1.15",9.04,""
"1969","Iowa","0","1.15",9.04,"1.15",9.04,36.7,"...",0,"0",0,""
"1969","Kansas","0","1.15",9.04,"1.15",9.04,36.7,"...",0,"0",0,""
"1969","Kentucky","0.65","1.15",9.04,"1.15",9.04,36.7,".65 - .75(b)",5.11,"0.75",5.89,"(b)"
