,State,id,Year,State_Minimum_Wage,Federal_Minimum_Wage,CPI_Average
0,Alabama,1,1968,0.0,1.15,34.8
1,Alaska,2,1968,2.1,1.15,34.8
2,Arizona,4,1968,0.468,1.15,34.8
3,Arkansas,5,1968,0.15625,1.15,34.8
4,California,6,1968,1.65,1.15,34.8
5,Colorado,8,1968,1.0,1.15,34.8
6,Connecticut,9,1968,1.4,1.15,34.8
7,Delaware,10,1968,1.25,1.15,34.8
8,District of Columbia,11,1968,1.25,1.15,34.8
9,Florida,12,1968,0.0,1.15,34.8
10,Georgia,13,1968,0.0,1.15,34.8
11,Guam,66,1968,1.25,1.15,34.8
12,Hawaii,15,1968,1.25,1.15,34.8
13,Idaho,16,1968,1.15,1.15,34.8
14,Illinois,17,1968,0.0,1.15,34.8
15,Indiana,18,1968,1.15,1.15,34.8
16,Iowa,19,1968,0.0,1.15,34.8
17,Kansas,20,1968,0.0,1.15,34.8
18,Kentucky,21,1968,0.65,1.15,34.8
19,Louisiana,22,1968,0.0,1.15,34.8
20,Maine,23,1968,1.4,1.15,34.8
21,Maryland,24,1968,1.0,1.15,34.8
22,Massachusetts,25,1968,1.6,1.15,34.8
23,Michigan,26,1968,1.25,1.15,34.8
24,Minnesota,27,1968,0.7,1.15,34.8
25,Mississippi,28,1968,0.0,1.15,34.8
26,Missouri,29,1968,0.0,1.15,34.8
27,Montana,30,1968,0.0,1.15,34.8
28,Nebraska,31,1968,1.0,1.15,34.8
29,Nevada,32,1968,1.25,1.15,34.8
30,New Hampshire,33,1968,1.4,1.15,34.8
31,New Jersey,34,1968,1.4,1.15,34.8
32,New Mexico,35,1968,1.15,1.15,34.8
33,New York,36,1968,1.6,1.15,34.8
34,North Carolina,37,1968,1.0,1.15,34.8
35,North Dakota,38,1968,1.0,1.15,34.8
36,Ohio,39,1968,0.75,1.15,34.8
37,Oklahoma,40,1968,1.0,1.15,34.8
38,Oregon,41,1968,1.25,1.15,34.8
39,Pennsylvania,42,1968,1.15,1.15,34.8
40,Puerto Rico,72,1968,0.43,1.15,34.8
41,Rhode Island,44,1968,1.4,1.15,34.8
42,South Carolina,45,1968,0.0,1.15,34.8
43,South Dakota,46,1968,0.425,1.15,34.8
44,Tennessee,47,1968,0.0,1.15,34.8
45,Texas,48,1968,0.0,1.15,34.8
46,U.S. Virgin Islands,78,1968,0.0,1.15,34.8
47,Utah,49,1968,1.0,1.15,34.8
48,Vermont,50,1968,1.4,1.15,34.8
49,Virginia,51,1968,0.0,1.15,34.8
50,Washington,53,1968,1.6,1.15,34.8
51,West Virginia,54,1968,1.0,1.15,34.8
52,Wisconsin,55,1968,1.25,1.15,34.8
53,Wyoming,56,1968,1.2,1.15,34.8
54,Alabama,1,1969,0.0,1.15,36.7
55,Alaska,2,1969,2.1,1.15,36.7
56,Arizona,4,1969,0.468,1.15,36.7
57,Arkansas,5,1969,0.15625,1.15,36.7
58,California,6,1969,1.65,1.15,36.7
59,Colorado,8,1969,1.0,1.15,36.7
60,Connecticut,9,1969,1.4,1.15,36.7
61,Delaware,10,1969,1.25,1.15,36.7
62,District of Columbia,11,1969,1.25,1.15,36.7
63,Florida,12,1969,0.0,1.15,36.7
64,Georgia,13,1969,0.0,1.15,36.7
65,Guam,66,1969,1.25,1.15,36.7
66,Hawaii,15,1969,1.25,1.15,36.7
67,Idaho,16,1969,1.15,1.15,36.7
68,Illinois,17,1969,0.0,1.15,36.7
69,Indiana,18,1969,1.15,1.15,36.7
70,Iowa,19,1969,0.0,1.15,36.7
71,Kansas,20,1969,0.0,1.15,36.7
72,Kentucky,21,1969,0.65,1.15,36.7
73,Louisiana,22,1969,0.0,1.15,36.7
74,Maine,23,1969,1.4,1.15,36.7
75,Maryland,24,1969,1.0,1.15,36.7
76,Massachusetts,25,1969,1.6,1.15,36.7
