State,1968 (a),1970 (a),1972,1976 (a),1979,1980,1981
Federal (FLSA),$1.15 & $1.60,$1.30 & $1.60,$1.60 ,$2.20 & $2.30,$2.90 ,$3.10 ,$3.35 
Alabama,...,...,...,...,...,...,...
Alaska,2.1,2.1,2.1,2.8,3.4,3.6,3.85
Arizona,18.72 - 26.40/wk(b),18.72 - 26.40/wk(b),18.72-26.40/wk(b),...,...,...,...
Arkansas,1.25/day(b),1.1,1.2,1.9,2.3,2.55,2.7
California,1.65(b),1.65(b),1.65(b),2,2.9,2.9,3.35
Colorado,1.00 - 1.25(b),1.00 - 1.25(b),1.00 - 1.25(b),1.00 - 1.25(b),1.9,1.9,1.9
Connecticut,1.4,1.6,1.85,2.21 & 2.31,2.91,3.12,3.37
Delaware,1.25,1.25,1.6,2,2,2,2
Florida,...,...,...,...,...,...,...
Georgia,...,...,1.25,1.25,1.23,1.25,1.25
Hawaii,1.25,1.6,1.6,2.4,2.65,2.9,3.1
Idaho,1.15,1.25,1.4,1.6,2.3,2.3,2.3
Illinois,...,...,1.4,2.1,2.3,2.3,2.3
Indiana,1.15,1.25,1.25,1.25,2,2,2
Iowa,...,...,...,...,...,...,...
Kansas,...,...,...,...,1.6,1.6,1.6
Kentucky,.65 - .75(b),.65 - .75(b),.65 - .75(b),1.6,2,2.15,2.15
Louisiana,...,...,...,...,...,...,...
Maine,1.4,1.6,1.40 - 1.80,2.3,2.9,3.1,3.35
Maryland,1.00 & 1.15,1.3,1.6,2.20 & 2.30,2.9,3.1,3.35
Massachusetts,1.6,1.6,1.75,2.1,2.9,3.1,3.35
Michigan,1.25,1.25,1.6,2.2,2.9,3.1,3.35
Minnesota,.70 - 1.15(b),.70 - 1.15(b),.75 - 1.60,1.8,2.3,2.9,3.1
Mississippi,...,...,...,...,...,...,...
Missouri,...,...,...,...,...,...,...
Montana,...,...,1.6,1.8,2,2,2
Nebraska,1,1,1,1.6,1.6,1.6,1.6
Nevada,1.25,1.3,1.6,2.20 & 2.30,2.75,2.75,2.75
New Hampshire,1.4,1.45 & 1.60,1.6,2.20 - 2.30,2.9,3.1,3.35
New Jersey,1.4,1.5,1.5,2.2,2.5,3.1,3.35
New Mexico,1.15 - 1.40,1.30 - 1.60,1.30 - 1.60,2,2.3,2.65,2.9
New York,1.6,1.6,1.85,2.3,2.9,3.1,3.35
North Carolina,1,1.25,1.45,2,2.5,2.75,2.9
North Dakota,1.00 - 1.25,1.00 - 1.45,1.00 - 1.45,2.00 - 2.30,2.10 - 2.30,2.60 - 3.10,2.80 - 3.10
Ohio,.75 - 1.25(b),.75 - 1.25(b),.75 - 1.25(b),1.6,2.3,2.3,2.3
Oklahoma,1,1,1.4,1.8,2,2,3.1
Oregon,1.25,1.25,1.25`,2.3,2.3,2.9,3.1
Pennsylvania,1.15,1.3,1.6,2.2,2.9,3.1,3.35
Rhode Island,1.4,1.6,1.6,2.3,2.3,2.65,2.9
South Carolina,...,...,...,...,...,...,...
South Dakota,17.00 - 20.00/wk,1,1,2,2.3,2.3,2.3
Tennessee,...,...,...,...,...,...,...
Texas,...,...,1.4,1.4,1.4,1.4,1.4
Utah,1.00 - 1.15(b),1.00 - 1.15(b),1.20 - 1.35(b),1.55 - 1.70(b),2.20 - 2.45(b),2.35 - 2.60(b),2.50 - 2.75(b)
Vermont,1.4,1.6,1.6,2.3,2.9,3.1,3.35
Virginia,...,...,...,2,2.35,2.35,2.65
Washington,1.6,1.6,1.6,2.20 - 2.30,2.3,2.3,2.3
West Virginia,1,1,1.2,2,2.2,2.2,2.75
Wisconsin,1.25 (b),1.30 (b),1.45 (b),2.1,2.8,3,3.25
Wyoming,1.2,1.3,1.5,1.6,1.6,1.6,1.6
District of Columbia,1.25 - 1.40,1.60 - 2.00,1.60 - 2.25,2.25 - 2.75,2.46 - 3.00,2.50 - 3.50,2.50 - 3.75
Guam,1.25,1.6,1.9,2.3,2.9,3.1,3.35
Puerto Rico,.43 - 1.60,.43 - 1.60,.65 - 1.60,.76 - 2.50,1.20 - 2.50,1.20 - 2.50,1.20 - 3.10
U.S. Virgin Islands,NA,NA,NA,NA,2.9,3.1,3.35
