State,2014,2015,2016,2017,2018,2019
Federal (FLSA),7.25,7.25,7.25,7.25,7.25,7.25
Alabama,...,...,...,...,...,...
Alaska,7.75,8.75,9.75,9.8,9.84,10.19
Arizona,7.9,8.05,8.05,10,10.5,12
Arkansas,6.25[c],7.50[c],8.00[c],8.50[c],8.50[c],9.25[c]
California,9,9,10,10,11,12
Colorado,8,8.23,8.31,9.3,10.2,12
Connecticut,8.7,9.15,9.6,10.1,10.1,11
Delaware,7.75,8.25,8.25,8.25,8.25,9.25
Florida,7.93,8.05,8.05,8.1,8.25,8.56
Georgia,5.15(d),5.15(d),5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,7.25,7.75,8.5,9.25,10.1,10.1
Idaho,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,8.25[c],8.25[c],8.25[c],8.25[c],8.25[c],9.25[c]
Indiana,7.25(e),7.25(e),7.25(e),7.25(e),7.25(e),7.25(e)
Iowa,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,...,...,...,...,...,...
Maine,7.5,7.5,7.5,9,10,12
Maryland,7.25,8.25,8.75,8.75,10.1,11
Massachusetts,8,9,10,11,11,12.75
Michigan,8.15(e),8.15(e),8.50(e),8.90(e),9.25(e),9.65(e)
Minnesota,6.50-8.00(g),7.25-9.00(g),7.25-9.50(g),7.75-9.50(g),8.04-9.86(g),8.15-10.00(g)
Mississippi,...,...,...,...,...,...
Missouri,7.5,7.65,7.65,7.7,7.85,9.45
Montana,7.90(g),8.05(g),8.05(g),8.15(g),8.30(g),8.65(g)
Nebraska,7.25[c],8.00[c],9.00[c],9.00[c],9.00[c],9.00[c]
Nevada,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25
New Hampshire,7.25,7.25,7.25,7.25,7.25,7.25
New Jersey,8.25,8.38,8.38,8.44,8.6,11
New Mexico,7.5,7.5,7.5,7.5,7.5,9
New York,8,8.75,9,9.7,10.4,11.8
North Carolina,7.25,7.25,7.25,7.25,7.25,7.25
North Dakota,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,7.25-7.95,7.25-8.10,7.25-8.10,8.15,8.3,8.7
Oklahoma,2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,9.1,9.25,9.75,9.75,10.75,11.25
Pennsylvania,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,8,9,9.6,9.6,10.1,10.5
South Carolina,...,...,...,...,...,...
South Dakota,7.25,8.5,8.55,8.65,8.85,9.3
Tennessee,...,...,...,...,...,...
Texas,7.25,7.25,7.25,7.25,7.25,7.25
Utah,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,8.73(e),9.15(e),9.60(e),10.00(e),10.50(e),10.96(e)
Virginia,7.25[c],7.25[c],7.25[c],7.25[c],7.25[c],7.25[c]
Washington,9.32,9.47,9.47,11,11.5,13.5
West Virginia,7.25,8,8.75,8.75,8.75,8.75
Wisconsin,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,5.15,5.15,5.15,5.15,5.15,5.15
District of Columbia,9.5,10.5,11.5,11.5,13.25,14
Guam,7.25,8.25,8.25,8.25,8.25,8.25
Puerto Rico,5.08-7.25(i),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i)
U.S. Virgin Islands,4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),10.50(j)
